Subject,Verb,Object
Harry Potter,be,a highly unusual boy
he,hat,the summer
It,be,nearly midnight
Harry,move,the tip
they,do catch,a real witch
she,allow,herself
very carefully he,unscrew,the ink
the Dursleys,hear,the scratching
They,be,Muggles
they,have,a very medieval attitude
they,keep,Harry as downtrodden
spellbooks,have be,a real problem
Hogwarts,have give,him
Harry,have creep,downstairs
he,do n't leave,spot
he,be study,magic
he,know,a lot
it,have be,Uncle
he,hear,Ron
I,DO N'T KNOW,WHAT
he,throw,the receiver back
YOU,GIVE,THIS
Ron,have warn,Hermione not
Harry,have have,no word
He,replace,the top
stomach,give,a funny jolt
He,have be,thirteen year
He,have never receive,a birthday card
he,have,no reason
he,hop,she
she,be,the only living
Voldemort,have flee,....
Harry,have come,face-to-face
He,scan,the starry
it,be,a few second
Harry,recognize,the unconscious owl
name,be,Errol
She,give,Harry
he,remove,her
Harry,do n't recognize,the third owl
it,be carry,a letter
a letter,bear,the Hogwarts
Harry,relieve,this owl
he,open,the envelope
A,delight,Mr. Weasley
Mr. Weasley,tell,the Daily
the black-and-white picture,do n't show,it
the picture,be,Ron
I,hope,the Muggles
the Muggles,do n't give,you
I,ask,Dad
he,reckon,I
Dad,win,the Daily
Seven,hundred,galleon
Harry,remember,only too well the occasion
the Muggles,get,you
He,get,the letter
Bill,say,it
he,do n't realize,Fred
George,have put,beetle
Harry,put,the Pocket
I,do hope,you
I,think,she
sure you,get,something
I,'ve be get,it
I,bet,he
he,'s,learning load
I,hope,it
Ron,say,he
you,make,it
I really,hope,you
Ron,say,Percy
he,put,Herrmone
he,be,sure it
heart,give,a huge bound
Hogwarts,be,Quidditch
he,have be,the young person
Thousand,race,broom
Harry,put,the leather
He,recognize,the untidy
the parcel,give,a strange quiver
it,have,jaw
Hagrid,do n't have,a normal person
Harry,poke,the parcel nervously
Then he,seize,the rest
Harry just,have,time
Harry,follow,it stealthily
the Dursleys,be,still fast asleep
Vernon,give,a loud
Harry,throw,it
I,see,you
the Muggles,be treat,you
It,strike,Harry
Hagrid,think,a biting book
he,put,Hagrid
Please,give,the enclosed permission
he,know,it
it,be,an entirely wizarding village
he,have never set,foot there
earth,be,he
